id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_tenaga_kerja,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,PRIA,61,ORANG,2014
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,WANITA,74,ORANG,2014
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PRIA,0,ORANG,2014
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,WANITA,0,ORANG,2014
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PRIA,0,ORANG,2014
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,WANITA,0,ORANG,2014
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PRIA,49,ORANG,2014
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,WANITA,54,ORANG,2014
9,32,JAWA BARAT,3205,KABUPATEN GARUT,PRIA,57,ORANG,2014
10,32,JAWA BARAT,3205,KABUPATEN GARUT,WANITA,46,ORANG,2014
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PRIA,0,ORANG,2014
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,WANITA,0,ORANG,2014
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PRIA,0,ORANG,2014
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,WANITA,0,ORANG,2014
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PRIA,32,ORANG,2014
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,WANITA,22,ORANG,2014
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,PRIA,14,ORANG,2014
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,WANITA,16,ORANG,2014
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PRIA,0,ORANG,2014
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,WANITA,0,ORANG,2014
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PRIA,37,ORANG,2014
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,WANITA,40,ORANG,2014
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PRIA,0,ORANG,2014
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,WANITA,0,ORANG,2014
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,PRIA,0,ORANG,2014
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,WANITA,0,ORANG,2014
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PRIA,103,ORANG,2014
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,WANITA,52,ORANG,2014
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PRIA,206,ORANG,2014
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,WANITA,237,ORANG,2014
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,PRIA,312,ORANG,2014
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,WANITA,287,ORANG,2014
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PRIA,77,ORANG,2014
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,WANITA,92,ORANG,2014
35,32,JAWA BARAT,3271,KOTA BOGOR,PRIA,963,ORANG,2014
36,32,JAWA BARAT,3271,KOTA BOGOR,WANITA,619,ORANG,2014
37,32,JAWA BARAT,3272,KOTA SUKABUMI,PRIA,67,ORANG,2014
38,32,JAWA BARAT,3272,KOTA SUKABUMI,WANITA,65,ORANG,2014
39,32,JAWA BARAT,3273,KOTA BANDUNG,PRIA,1478,ORANG,2014
40,32,JAWA BARAT,3273,KOTA BANDUNG,WANITA,852,ORANG,2014
41,32,JAWA BARAT,3274,KOTA CIREBON,PRIA,61,ORANG,2014
42,32,JAWA BARAT,3274,KOTA CIREBON,WANITA,36,ORANG,2014
43,32,JAWA BARAT,3275,KOTA BEKASI,PRIA,409,ORANG,2014
44,32,JAWA BARAT,3275,KOTA BEKASI,WANITA,439,ORANG,2014
45,32,JAWA BARAT,3276,KOTA DEPOK,PRIA,0,ORANG,2014
46,32,JAWA BARAT,3276,KOTA DEPOK,WANITA,0,ORANG,2014
47,32,JAWA BARAT,3277,KOTA CIMAHI,PRIA,0,ORANG,2014
48,32,JAWA BARAT,3277,KOTA CIMAHI,WANITA,0,ORANG,2014
